Mountain Name	Area Name	Elevation	Prominence
Corcogemore	Maamturks	609	221
Beennabrack	Brandon Group	608.5	23
Croaghskearda	Central Dingle	608	13
Stoompa East Top	Mangerton	608	23
Macklaun	Glenbeigh Horseshoe	607	52
Knocknahillion	Maamturks	607	152
Croghan Kinsella	"Dublin/Wicklow, Wicklow Mountains"	606	541
Carran	Shehy/Knockboy	604	237
Baurtregaum Far NE Top	Slieve Mish	603	28
Lackabane	Caha Mountains	603	288
Gullaba Hill	Shehy/Knockboy	603	38
Binn Bhriocain NE Top	Maamturks	603	28
Aghla Beg (South)	"Donegal NW, Derryveagh Mountains"	602.3	368
Black Hill	"Dublin/Wicklow, Wicklow Mountains"	602.2	67
Knocknadobar North Top	Iveragh NW	602	17
Maumonght	Twelve Bens	602	54
Knockeenatoung	Galty Mountains	601.3	66
Devilsmother Far North Top	Partry/Joyce Country	601	26
Eskatarriff	Caha Mountains	600.5	135
Lough Curra Mtn	Galty Mountains	600.4	23
Silver Hill	Bluestack Mountains	600	155
Castle Hill	Slieve Mish	600	35
Black Rock Mountain	Blackstairs Mountains	599.6	28
Sorrel Hill	"Dublin/Wicklow, Wicklow Mountains"	599.5	154
Coomacloghane	Caha Mountains	599	104
Garraun	Twelve Bens	598	553
Laghtshanaquilla North-East Top	Galty Mountains	598	19
Annacoona Top	Dartry Mountains	597	212
Croaghgorm South-West Top	Bluestack Mountains	597	19
Slieve League	Donegal SW	596.4	470
Drumnalifferny Mountain	"Donegal NW, Derryveagh Mountains"	596	101
Binn Mhor West Top	Maamturks	596	28
Slieve Beg	Mourne Mountains	595.9	40
Bascadh	Dunkerron Mountains	595	110
Devilsmother North Top	Partry/Joyce Country	595	12
Luggala	"Dublin/Wicklow, Wicklow Mountains"	595	110
Mullaghanattin East Top	Dunkerron Mountains	594	26
Cushnaficulla	Caha Mountains	594	59
Croaghgorm East Top	Bluestack Mountains	594	16
Knockmulanane	Central Dingle	593	48
Keamconneragh	Glenbeigh Horseshoe	593	18
Tonduff East Top	"Dublin/Wicklow, Wicklow Mountains"	593	15
Aghla Mountain	Bluestack Mountains	593	388
Doan	Mourne Mountains	592.6	118
Knocknabro West Top	Paps/Derrynasaggart	592	147
Tooth Mountain	Caha Mountains	592	42
Beenatoor	Central Dingle	592	66
Cnoc Breasail	Dunkerron Mountains	591	56
Tievnabinnia East Top	Sheeffry Hills	590	55
Coomnahorna	Dunkerron Mountains	590	136
Slieve Foye	"Cooley/Gullion, Cooley Mountains"	589	494
Aghla Mountain South Top	Bluestack Mountains	589	12
Buckoogh	"North Mayo, Nephin Beg Range"	588	423
Mullaghanish North-East Top	Paps/Derrynasaggart	586.4	28
Knocknagree	Caha Mountains	586	131
Caherbla	Slieve Mish	586	91
Glendoo Mountain	"Dublin/Wicklow, Dublin Mountains"	586	109
Slievenaglogh	Mourne Mountains	586	41
Carn Mountain	Mourne Mountains	585.2	50
Slieve Anierin	"Breifne, Iron Mountains"	585	245
Benchoona East Top	Twelve Bens	585	15
Drumnalifferny North-East Top	"Donegal NW, Derryveagh Mtns"	585	25
Caha South-East Top	Caha Mountains	585	15
Knockastakeen	Galty Mountains	583	78
Benbrack	Twelve Bens	582	264
Bengorm	"North Mayo, Nephin Beg Range"	582	225
Aghla More	"Donegal NW, Derryveagh Mountains"	581.2	156
Mullaghasturrakeen	Sperrin Mountains	581	46
Benchoona	Twelve Bens	581	36
Barrclashcame North-West Top	Sheeffry Hills	580	45
Maulin North Top	Caha Mountains	579	21
Slievenashaska	Dunkerron Mountains	578	123
Bingorms	"Donegal NW, Derryveagh Mountains"	578	33
Finlieve	Mourne Mountains	578	20
Meall Cheo	Maamturks	578	20
Glascarns Hill	Bluestack Mountains	578	20
Knockeirky	Caha Mountains	577	30
Benlettery	Twelve Bens	577	62
Bencorrbeg	Twelve Bens	577	42
Slieve League South-East Top	Donegal SW	576.7	24
Slievenaglogh East Top	Mourne Mountains	575	12
Croaghanmoira North Top	"Dublin/Wicklow, Wicklow Mountains"	575	27
Bunnacunneen	Partry/Joyce Country	575	463
Brassel Mountain	MacGillycuddy's Reeks	575	50
Knocknagowan	Paps/Derrynasaggart	574	37
Sugarloaf Mountain	Caha Mountains	574	126
Skregbeg	MacGillycuddy's Reeks	573	78
Slieve Gullion	"Cooley/Gullion, Slieve Gullion"	573	478
Carrigshouk	"Dublin/Wicklow, Wicklow Mountains"	572.5	30
Lackawee	Caha Mountains	572	67
Mullaghclogher	Sperrin Mountains	572	127
Maumtrasna North-East Top	Partry/Joyce Country	572	14
Fair Mountain	"Dublin/Wicklow, Wicklow Mountains"	571.2	18
Croaghnageer	Bluestack Mountains	571	266
Carrig Mountain	"Dublin/Wicklow, Wicklow Mountains"	571	13
Maulin	"Dublin/Wicklow, Wicklow Mountains"	570	70
Sallagh	Dunkerron Mountains	570	32
Bascadh West Top	Dunkerron Mountains	569	21
Knockaunanattin	Dunkerron Mountains	569	54
Oughtmore	Sperrin Mountains	569	104
Knocknabreeda	Dunkerron Mountains	569	74
Tomies North Top	Purple Mountain	568	20
Spelhoagh	Sperrin Mountains	568	20
Mullaghdoo	Sperrin Mountains	568	20
Carran South Top	Shehy/Knockboy	567	42
Moanlaur	Slieve Mish	566	289
Slievenashaska South Top	Dunkerron Mountains	566	36
Conigar	Shehy/Knockboy	566	131
Sugarloaf Mtn West Top	Caha Mountains	565	27
Knockmore	Slieve Mish	565	27
Gaugin Mountain	Bluestack Mountains	565	290
Meenteog South-East Top	Glenbeigh Horseshoe	565	17
Slievenamon North-West Top	"South Midlands, Slievenamon"	564	13
Birreencorragh South Top	"North Mayo, Nephin Beg Range"	564	59
Aghla Beg	"Donegal NW, Derryveagh Mountains"	563.9	42
Knockmulanane West Top	Central Dingle	563	15
Table Mountain West Top	"Dublin/Wicklow, Wicklow Mountains"	563	15
Croghan Kinsella East Top	"Dublin/Wicklow, Wicklow Mountains"	562.1	21
Carnanelly	Sperrin Mountains	562	307
Knockacullion	"Breifne, Iron Mountains"	562	57
Croaghgorm Far South-West Top	Bluestack Mountains	561	22
Barnanageehy	Slieve Mish	561	56
Scarr North-West Top	"Dublin/Wicklow, Wicklow Mountains"	561	13
Carran Far North-East Top	Shehy/Knockboy	561	36
Carrignagunneen	"Dublin/Wicklow, Wicklow Mountains"	561	12
Sugarloaf Mtn Far West Top	Caha Mountains	560	85
Ben Beg	Partry/Joyce Country	560	135
Slievemoughanmore	Mourne Mountains	560	154
Knockmeal	Knockmealdown Mountains	559.5	57
Ben Goram	Croagh Patrick	559	74
Mullaghanish Far North-East Top	Paps/Derrynasaggart	558.5	20
Barrlugrevagh	Maamturks	558	17
Brockagh Mountain	"Dublin/Wicklow, Wicklow Mountains"	557	32
Garraun South Top	Twelve Bens	556	31
Leenaun Hill Far North-West Top	Maamturks	556	28
Carran North-East Top	Shehy/Knockboy	555	15
Mackoght	"Donegal NW, Derryveagh Mountains"	555	150
Caha Far South-East Top	Caha Mountains	555	15
Prince William's Seat	"Dublin/Wicklow, Dublin Mountains"	555	63
Caoinkeen South-East Top	Shehy/Knockboy	555	15
Knocknagun	"Dublin/Wicklow, Dublin Mountains"	555	63
Peakeen Mountain	Mangerton	554.7	280
Knockrower	Mangerton	554	59
Derryclancy	Caha Mountains	554	109
Dooish South-East Top	"Donegal NW, Derryveagh Mountains"	553.9	38
Carn Mountain North Top	Mourne Mountains	553.7	13
Sheegouna	"South Midlands, Slievenamon"	553.5	15
Knocknagantee West Top	Dunkerron Mountains	553	15
Sugarloaf	"Dublin/Wicklow, Wicklow Mountains"	552	14
Dromavally Mountain	Central Dingle	552	206
Birreencorragh West Top	"North Mayo, Nephin Beg Range"	551	36
Bucan	Maamturks	550	45
Mullaghmore	Sperrin Mountains	550	235
Trostan	Antrim Hills	550	515
Eagles Hill	Dunkerron Mountains	549	234
Garraun South-West Top	Twelve Bens	549	21
Caherbarnagh East Top	Paps/Derrynasaggart	549	16
Brockagh Mountain North-West Top	"Dublin/Wicklow, Wicklow Mountains"	548	20
Croaghanirwore	Bluestack Mountains	548	93
Slieve Maan	"Dublin/Wicklow, Wicklow Mountains"	547.8	92
Knocknacusha	Dunkerron Mountains	547	252
Slieve Maan North Top	"Dublin/Wicklow, Wicklow Mountains"	546.1	12
Croaghnageer East Top	Bluestack Mountains	546	28
Tonlagee South-East Top	"Dublin/Wicklow, Wicklow Mountains"	546	18
Shehy More	Shehy/Knockboy	545.6	351
Church Mountain	"Dublin/Wicklow, Wicklow Mountains"	544	129
Knockalongy	Ox Mountains	544	490
Mauherslieve	"Shannon, Mauherslieve"	543	268
Sallagh South-West Top	Dunkerron Mountains	543	15
Slievenanee	Antrim Hills	543	98
The Playbank	"Breifne, Iron Mountains"	542	187
Mullaghcarn	Sperrin Mountains	542	377
Sturrakeen	Galty Mountains	541.7	46
Slieve Aghkerane	"Achill/Corraun, Corraun"	541	506
Knocknahillion North Top	Maamturks	541	36
Knockalongy North-East Top	Ox Mountains	541	13
Crossone	Mourne Mountains	540	12
Foilastookeen	Shehy/Knockboy	540	20
Knockroe	Blackstairs Mountains	540	95
Benbeg	"Breifne, Cuilcagh Mountains"	539	34
Bunnacunneen South Top	Partry/Joyce Country	539	21
Moylenanav	"Donegal NW, Glendowan Mountains"	539	294
Peakeen Mountain West Top	Mangerton	538.7	93
Killane Mountain	Caha Mountains	537	82
Bealick	Shehy/Knockboy	537	19
White Mountain	Sperrin Mountains	537	42
Ballycurragh Hill	"Dublin/Wicklow, Wicklow Mountains"	536	221
Two Rock Mountain	"Dublin/Wicklow, Dublin Mountains"	536	171
Nowen Hill	Shehy/Knockboy	535.2	300
Knocknabro North-East Top	Paps/Derrynasaggart	535	15
Slieve Foye North-West Top	"Cooley/Gullion, Cooley Mountains"	535	15
Torc Mountain	Mangerton	535	300
Slieve Croob	"Mourne Mountains, Slieve Croob"	534	439
An Cnoc Riabhach	Dunkerron Mountains	534	79
Knocknacloghoge	"Dublin/Wicklow, Wicklow Mountains"	534	129
Pigeon Rock Mountain	Mourne Mountains	534	139
Killane Mountain South-West Top	Caha Mountains	533	21
Eskatarriff East Top	Caha Mountains	532.7	38
Knockboy South Top	Shehy/Knockboy	532	37
Moylussa	"Shannon, Slieve Bernagh"	531.6	501
Tawnyanruddia	"North Mayo, Nephin Beg Range"	531	23
Corriebracks	"Dublin/Wicklow, Wicklow Mountains"	531	116
Ballinacor Mountain	"Dublin/Wicklow, Wicklow Mountains"	531	56
Nareera	Caha Mountains	530	35
Knocknabro East Top	Paps/Derrynasaggart	530	27
Pigeon Rock Mountain South Top	Mourne Mountains	530	20
Coomataggart	Shehy/Knockboy	530	75
Crockfadda	"Donegal NW, Derryveagh Mountains"	529	80
The Eagles Rock	"Cooley/Gullion, Cooley Mountains"	528	29
Seefin Mountain W Top	Ballyhoura Mountains	528	383
Slieve Gallion	Sperrin Mountains	528	333
Dooish South-West Top	"Donegal NW, Derryveagh Mtns"	528	20
Arderin	Slieve Bloom	527	420
Ott Mountain	Mourne Mountains	526.8	31
Benbulbin	Dartry Mountains	526	61
Doughruagh	Twelve Bens	526	211
Crockbrack	Sperrin Mountains	526	151
Cragnamurragh	"Shannon, Slieve Bernagh"	526	51
Ben Crom	Mourne Mountains	526	81
Peakeen Mountain Far North-West Top	Mangerton	525.5	22
Tievnabinnia South-East Top	Sheeffry Hills	525	15
Doughruagh South Top	Twelve Bens	525	17
Dart Mountain North-West Top	Sperrin Mountains	525	12
Mullaghcarn South Top	Sperrin Mountains	525	12
Slievebawn	Blackstairs Mountains	524.8	89
Corraun Hill	"Achill/Corraun, Corraun"	524	103
Rocky Mountain	Mourne Mountains	524	60
Tooreennamna	Caha Mountains	524	24
Croaghconnellagh	Bluestack Mountains	523	268
Kanturk	"Dublin/Wicklow, Wicklow Mountains"	523	15
Knockeirky South Top	Caha Mountains	523	25
Arroo Mountain	Dartry Mountains	523	436
Peakeen Mountain North-West Top	Mangerton	522.7	17
Droppa	Caha Mountains	522	24
Knockalongy South-West Top	Ox Mountains	521	23
Croaghnageer North-East Top	Bluestack Mountains	521	13
Carnaween	Bluestack Mountains	521	166
Crohan West	Knockmealdown Mountains	521	76
Laghtnafrankee	Comeragh Mountains	520	126
The Priests Leap	Shehy/Knockboy	519	54
Knocknalougha South Top	Knockmealdown Mountains	518.6	12
Knocklaur	Partry/Joyce Country	518	43
Farbreaga	Knockmealdown Mountains	518	69
Bencroy	"Breifne, Iron Mountains"	518	83
Crocknafarragh	"Donegal NW, Derryveagh Mountains"	517	172
Knockaffertagh	"North Mayo, Nephin Beg Range"	517	92
Mullaghcarbatagh	Sperrin Mountains	517	32
Crow Hill	Knockmealdown Mountains	516.8	20
Barnahowna	Partry/Joyce Country	516	71
Benglenisky	Twelve Bens	516	48
Mount Eagle	Dingle West	516	461
Beenduff	Slieve Mish	515	40
Brandon Hill	"South Midlands, Brandon Hill"	515	450
Slieve Main	Inishowen	514	100
Knocklayd	Antrim Hills	514	389
Benwiskin	Dartry Mountains	514	39
An Bhinn Lair	Dunkerron Mountains	514	65
Stillbrook Hill	Slieve Bloom	514	79
Annatoran	Ox Mountains	512	97
Slievetooey	Donegal SW	511	376
Tawny Rower	Sheeffry Hills	510	95
Coombane	Caha Mountains	510	13
Cummeenbaun	Caha Mountains	510	35
Seefin Mountain E Top	Ballyhoura Mountains	510	35
Cullentragh Mountain	"Dublin/Wicklow, Wicklow Mountains"	510	12
Clermont Carn	"Cooley/Gullion, Cooley Mountains"	510	312
Lugnademon	Croagh Patrick	510	12
Knocknaveacal North Top	Caha Mountains	509.1	26
Coomataggart South-West Top	Shehy/Knockboy	509	21
Nowen Hill SW Top	Shehy/Knockboy	509	44
Knockanaguish	Mangerton	509	178
Baunreaghcong	Slieve Bloom	509	74
Mullaghbeg	Dunkerron Mountains	509	64
White Mountain	Blackstairs Mountains	509	134
Devilsmother South Top	Partry/Joyce Country	509	11
