Mountain,Area,Elevation,Prominence
Derrineanig,Shehy/Knockboy,304,106
Straid Hill,Sperrin Mountains,303,128
Dereenaculling,Paps/Derrynasaggart,303,94
Gouladane,Mizen/Sheeps Head,303,107
Ballycurry,Dublin/Wicklow,301,94
Derrylahard East,Mizen/Sheeps Head,301,176
Knockafeehane,Slieve Mish,301,130
Carronadavderg,"Comeragh Mountains, Drum Hills",301,290
Cloghercor South,Bluestack Mountains,301,104
Cregganconroe,Sperrin Mountains,300,114
Errisbeg,South Connemara,300,275
Gortnagan Beg,MacGillycuddy's Reeks,298,122
Carrigeen Hill,Dublin/Wicklow,298,103
Cregg,Twelve Bens,297,142
Crucknaree,North Mayo,297,100
Carrigadoon Hill,South Midlands,296.9,142
Cashloura,Shehy/Knockboy,296.8,191
Mount Kid,Mizen/Sheeps Head,296.1,109
Eagle Hill,Dublin/Wicklow,296,110
Knockavoe,Sperrin Mountains,296,60
Slieveacarnane,Mourne Mountains,296,117
Coolsnaghtig,Shehy/Knockboy,295.8,160
Sheean,North Mayo,295,120
Pollnalaght,S Donegal/W Tyrone,293,178
Killerry Mountain,Ox Mountains,293,239
Ballystrang,Donegal NW,292,95
Glenmore Hill,"W Limerick/N Kerry, Mullaghareirk",292,98
Croaghmore,Dingle West,292,292
Tory Hill,South Midlands,292,170
Knocknalee,South Connemara,291,128
Coolcross Hill,Inishowen,291,164
Taghart South,North Midlands,290,100
Ballyhook Hill,Dublin/Wicklow,288,121
Knockfeerina,W Limerick/N Kerry,288,173
Clearagh Hill,Shehy/Knockboy,287,133
Cappagh Mountain,Fermanagh/S Tyrone,286,103
Knocknanacree,Central Dingle,286,260
Corrymailley Hill,Mweelrea Mountains,286,140
Tievereivagh,"Achill/Corraun, Achill",286,250
Corbally Hill,South Midlands,285,104
Stragraddy Mountain,Donegal NW,285,177
Aroher Hill,"North Mayo, Nephin Beg",285,112
Mount Corrin,Mizen/Sheeps Head,284,117
Mongorry Hill,Inishowen,284,179
Monabrogue,South Midlands,284,97
Ballinastraw,Dublin/Wicklow,284,96
Faranaree Hill,South Midlands,283,126
Shrone Hill,Caha Mountains,283,101
Crockalough,Inishowen,282,267
Sheeanmore,"North Mayo, Nephin Beg",282,147
Knocknaveagh,Shehy/Knockboy,282,128
Srahrevagh North,"North Mayo, Nephin Beg",282,96
Drumnalough Hill,Bluestack Mountains,282,119
Meenseefin,S Donegal/W Tyrone,280,109
Cloghermore,South Connemara,280,111
Barranisky,"Dublin/Wicklow, Wicklow Mountains",280,165
Slievenalargy,Mourne Mountains,280,155
Lettertrask,"North Mayo, Nephin Beg Range",279,154
Tullymorehill,Partry/Joyce Country,279,95
Corn Hill,North Midlands,278,203
Duntryleague Hill,Ballyhoura Mountains,278,140
Croaghmore,Donegal NW,278,119
Knockmore,Fermanagh/S Tyrone,277,30
Eglish,Sperrin Mountains,277,108
Topped Mountain,Fermanagh/S Tyrone,277,131
Larganmore,Ox Mountains,276,123
Mount Alto,South Midlands,276,149
Carrickgollogan,Dublin/Wicklow,276,118
Slieve Na Calliagh,North Midlands,276,171
Knocknashee,Ox Mountains,276,171
Killelan Mountain,Iveragh NW,275,250
Slieve Daeane,Ox Mountains,275,231
Croaghmuckros,Donegal SW,275,133
Curra Hill,Glenbeigh Horseshoe,275,170
Reenconnell,Dingle West,274,159
Cappanalaurabaun,South Connemara,273,114
Currywongaun,Twelve Bens,273,109
Corronoher,W Limerick/N Kerry,272.1,150
Slievenaslat,Mourne Mountains,272,109
Doomore,Ox Mountains,272,80
Oughtarnid,S Donegal/W Tyrone,271,98
Croaghrimkarra,Partry/Joyce Country,271,107
Knockanamadane,Dunkerron Mountains,270,124
Westaston Hill,Dublin/Wicklow,270,122
Curradrolan Hill,Sperrin Mountains,270,111
Cornaclea Hill,Achill/Corraun,269,100
Carrafull,North Mayo,269,164
Slievecoiltia,South Wexford,268.5,187
Knockaughna,Mizen/Sheeps Head,268,100
Bunnanimma,North Midlands,268,138
Derrin,Fermanagh/S Tyrone,268,102
Ballaghmore Hill,South Midlands,268,146
Knockanallig,Caha Mountains,267,267
Ben Dash,West Clare,267,119
Kilmichael Hill,Dublin/Wicklow,267,105
Dooish Mountain,Inishowen,266,172
Geokaun,Iveragh NW,266,266
Croaghleconnell,"Donegal NW, Derryveagh Mountains",266,195
Knockanore,North Kerry,265.5,252
Coolnahau Hill,South Midlands,265,128
Tievecrom,"Cooley/Gullion, Slieve Gullion",264,172
Knockagreenan,Boggeragh Mountains,263,146
Slieve Carn,North Midlands,262,238
Slieve Bawn,North Midlands,262,207
Dereenavurrig Hill,Dunkerron Mountains,261,112
Hewson Hill,South Midlands,261,128
Tievenanass,North Midlands,261,104
Barnacuillew,North Mayo,260,240
Bruse Hill,North Midlands,260,199
Holywell Hill,Inishowen,260,255
Lackacroghan,Slieve Miskish,260,165
Knockbrin,Donegal NW,259,106
Croaghglengad,Inishowen,259,106
Slieveboy,Sperrin Mountains,259,105
Breesy Hill,S Donegal/W Tyrone,258,144
Corballis Hill,Dublin/Wicklow,258,120
Mullaghmeen,North Midlands,258,146
Inchimore,Mangerton,256,100
Benwee Head,North Mayo,255,230
Curlew Mountains,Bricklieve/Curlew,255,150
Slieveacurry,West Clare,255,98
Knocknafaughy,Partry/Joyce Country,254,97
Leam Hill,South Connemara,253,100
Tara Hill,North Wexford,253,198
Caponellan Hill,South Midlands,253,129
Loughaskerry,Donegal NW,252,145
Scarriff Island,Dunkerron Mountains,252,252
Doonties Commons,Central Dingle,252,136
Croaghnamaddy,"Donegal NW, Horn Head",252,247
Cnoc Bólais,Slieve Miskish,252,252
Ballydavid Head,Dingle West,251.4,226
Mount Oriel,East Coast,251,176
Binnion,Inishowen,250,195
Donnell's Hill,Comeragh Mountains,250,132
Aghalion Hill,North Midlands,249,141
Killeagh,Dublin/Wicklow,249,125
Letterlogher,Sperrin Mountains,249,114
Croaghegly,Donegal NW,245,230
Coomduff,Dunkerron Mountains,244,140
Knocknascollop NW Top,North Mayo,244,231
Mullaghmeash Hill,Sperrin Mountains,244,100
Mullaghbane Mountain,"Cooley/Gullion, Slieve Gullion",243,94
Bunmore,"North Mayo, Nephin Beg Range",243,205
Corduff,North Midlands,243,94
Mullaghcroy,Sperrin Mountains,242,176
Carrigoona Commons East,Dublin/Wicklow,242,103
Faughil,"Cooley/Gullion, Slieve Gullion",241,135
The Hill of Mael,North Midlands,241,133
Kill Hill,South Midlands,241,114
Greenan Mountain,Inishowen,241,106
Abbey Hill,West Clare,240,165
Carrigadav,Central Dingle,240,96
Bray Head Hill,Dublin/Wicklow,240,127
Ballyroon Mountain,Mizen/Sheeps Head,239,134
Bray Head,Iveragh NW,239,204
Knockbreteen,Shehy/Knockboy,239,104
Keelkil,Partry/Joyce Country,239,133
Beenmore,Dingle West,239,106
Collon Hill,"Dublin/Wicklow, Wicklow Mountains",238,183
Knockakeo,Nagles Mountains,238,112
Crockawama,"Donegal NW, Derryveagh Mountains",238,122
Illanmaster,North Mayo,238,134
Tower Hill,Comeragh Mountains,238,118
Knockaghaleague,North Mayo,237,192
Knockaphuca,Mizen/Sheeps Head,237,172
Forth Mountain,South Wexford,237,172
Derk Hill,"Shannon, Slieve Felim",236,115
Garrylaurence Hill,Nagles Mountains,236,97
Killough,South Midlands,235,120
Knockiveagh,Mourne Mountains,235,150
Knockseefin,"Shannon, Slieve Felim",235,113
Croghan Hill,North Midlands,234,159
Mullaghanoe,North Midlands,234,160
Carrickbyrne Hill,South Wexford,234,150
Fahane,Mizen/Sheeps Head,233,134
Feede Mountain,"Cooley/Gullion, Slieve Gullion",233,108
Corveagh,Partry/Joyce Country,233,109
Dunmurry Hill,North Midlands,233,127
Derryreel,Derryveagh Mountains,232,91
Carrigroe Hill,North Wexford,232,217
Mizen Peak,Mizen/Sheeps Head,232,177
Carnmoney Hill,Belfast Hills,231.1,109
Fearns Hill,S Donegal/W Tyrone,231,95
Largy,Fermanagh/S Tyrone,230,112
Dunaff Hill,Inishowen,230,215
Barradeegin,North Mayo,229,194
Killeigh Hill,Shehy/Knockboy,229,103
Knockmore,Blackstairs Mountains,228,120
Currane Hill,Shehy/Knockboy,228,150
Black Hill,Shannon,228,100
Murren Hill,"Donegal NW, Fanad",227,192
Bockagh Hill,North Midlands,227,105
Cluidaniller West Top,"Donegal NW, Aranmore",227,227
Barroe North,Arigna Mountains,226,132
Cotracloghy,"Cooley/Gullion, Slieve Gullion",225,110
Brown Mountain,Donegal NW,224,100
Knockadav,South Connemara,224,101
Knocknaveen,Achill/Corraun,223,117
Eagle Hill,Slieve Miskish,223,134
Bouleevin,West Clare,222,124
Croaghaderry,Derryveagh Mountains,222,12
Brewel Hill,North Midlands,222,94
Inch Top,Inishowen,222,222
Clondermot Hill,Sperrin Mountains,220,195
Corrin,Nagles Mountains,220,40
Muckanagh Hill,North Mayo,220,139
Meenavally,Donegal NW,219,124
Boheh Hill,Croagh Patrick,219,114
Hill of Allen,North Midlands,219,131
Callahaniska,Glenbeigh Horseshoe,219,106
Shantemon,North Midlands,218,120
Kilcullen Hill,Blackstairs Mountains,218,96
Gortmonly Hill,Sperrin Mountains,218,170
Kilnamanagh Hill,Dublin/Wicklow,217,142
Croaghan Hill,S Donegal/W Tyrone,217,173
Great Skellig,Iveragh NW,217,217
Maulin Mountain,North Kerry,217,210
Mucklety Hill,Ox Mountains,217,104
Cairngaver,Belfast Hills,217,192
Townaloughra East Top,Twelve Bens,216,112
Long Mountain,Antrim Hills,215,128
Ballyea Hill,W Limerick/N Kerry,214,124
Krinnuck,"Achill/Corraun, Achill",214,159
Knockeyon,North Midlands,214,128
Knock Hill,North Midlands,213,104
Knockshigowna,Shannon,212,130
Kilmacomma Hill,Comeragh Mountains,211,143
Carrowrevagh,Croagh Patrick,210,102
Tullyhappy,"Cooley/Gullion, Slieve Gullion",209,101
Knockshanawee,South Cork,209,132
Newtown Hill,South Midlands,208,109
Knockatassonig,Mizen/Sheeps Head,207,135
Ganiamore,"Donegal NW, Rosguill",207,199
Lannimore Hill,Antrim Hills,207,119
Cross Slieve,Antrim Hills,206,150
Monaughrim,South Midlands,206,97
Fermoyle Hill,Iveragh NW,206,110
Sybil Head,Dingle West,206,201
Gortamullin,Dunkerron Mountains,205,116
Disert,Slieve Miskish,205,180
Knockanes,West Clare,205,120
Knocknalarabana,West Clare,204,116
Knockroe,"Shannon, Slieve Felim",204,128
Cullen Hill,Fermanagh/S Tyrone,201,132
Slieveadrohid,South Cork,201,124
Knockastia,North Midlands,200,106
Tearaght Island,Dingle West,200,200
Bawn Mountain,North Midlands,200,121
Slieveward,Ox Mountains,199,113
Cruckboeltane,North Midlands,199,101
Newtown Hill,South Connemara,198,105
Carranarah,Ox Mountains,197,152
Rush Hill,North Midlands,197,114
Knockomagh,Mizen/Sheeps Head,197,172
Knockscagh,Shehy/Knockboy,195,102
Rehagy Mountain,Fermanagh/S Tyrone,194,95
Lacken Hill,South Wexford,193,107
Edenacarnan,Donegal NW,192,147
Lettershinna Hill,South Connemara,192,127
Knockninny Hill,Breifne,191,133
Cloontohil,West Clare,190,118
Binnion Hill,Inishowen,190,101
Lugganammer,North Midlands,190,135
Inishturk (1),Mayo Islands,189.3,189
Clifden Hill,West Clare,189,102
Ballyguile Hill,Dublin/Wicklow,188,109
Srahmore,"North Mayo, Nephin Beg",186,120
Knockboha,North Mayo,186,110
Ouley Hill,Belfast Hills,186,110
Carhoo Hill,Dingle West,184,169
Doolieve,South Cork,182.5,138
Srahataggle,North Mayo,182,115
Camaross Hill,South Wexford,181,104
Glanarough Hill,Slieve Miskish,181,128
Mullagh More,West Clare,180,50
Oulart Hill,North Wexford,179,104
Bree Hill,South Wexford,179,123
Sheemore,Bricklieve/Curlew,178,105
Ballydorgan,Nagles Mountains,177,119
Gortnessy Hill,Keenaght,176,98
Knockbrack,East Coast,176,97
Inishnabro,Dingle West,175,175
Toome,Donegal NW,175,138
Gortrumnagh,Twelve Bens,174,110
Soldiers hill,Inishowen,174,105
Kinknock Hill,Croagh Patrick,173,116
Carrickleck Hill,North Midlands,173,115
Inishtooskert (2),Dingle West,172,172
Maumfin,Twelve Bens,172,157
Ben of Howth,East Coast,171,167
Carrowmore Hill,Croagh Patrick,171,145
Highbank,Inishowen,171,102
Knockarudane Hill,Shehy/Knockboy,169,113
Knockroe,North Midlands,168,107
Knockmaa,North Midlands,167,138
Moydow,North Midlands,165,108
Lackenakea,Mizen/Sheeps Head,164,100
Garravagh North Top,South Cork,164,106
Crocknasleigh,"Donegal NW, Rosguill",163,159
Reenearagh,Dunkerron Mountains,162,115
Knocknaheeny,South Cork,161,123
Hill of Slane,East Coast,160.4,53
Scrabo Hill,Belfast Hills,160,97
Derryvour Hill,Caha Mountains,160,131
Cnoicín an tSeabhaic,Mizen/Sheeps Head,160,160
Puffin Island,Iveragh NW,159,159
Lick Hill,Shehy/Knockboy,158,110
Dromona Hill,"Comeragh Mountains, Drum Hills",156,102
Barryroe Hill,Shehy/Knockboy,156,123
Crocknaneeve,Donegal NW,155.9,109
Tara,East Coast,155,84
Porturlin Hill,North Mayo,155,122
Eagle Hill,Dunkerron Mountains,155,118
Knockaglana,North Mayo,154,126
Killiney Hill,Dublin/Wicklow,153.5,116
Binn Diarmada,Dingle West,153,92
Drumavohy Hill,"Donegal NW, Fanad",153,100
Ballynabrocky Hill,"Donegal NW, Fanad",152,118
Cashelmore,"Donegal NW, Fanad",149,137
Moyle Hill,Donegal NW,148,95
Balloor Hill,Croagh Patrick,147,120
Knockaunbaun,Twelve Bens,146,128
Deenish Island (2),Dunkerron Mountains,144,144
Cooligboy Hill,South Cork,144,95
Farrendalouge,Central Dingle,144,97
Gortnadrehy,Ox Mountains,143,124
Ballincollop Hill,South Cork,141,116
Donalds Carn,Antrim Hills,141,126
Tormore Island North,Donegal SW,139,139
Clashabeema,South Midlands,137,99
Moveen Hill,South Clare,136,119
Inishvickillane,Dingle West,135,135
Kilpatrick,Antrim Hills,134,134
Ballyscanlan Hill,South Midlands,132,72
Aghaglasheen,North Mayo,132,132
Little Skellig,Iveragh NW,131,131
Muldersleigh Hill,Belfast Hills,131,106
Cuilkillew,"North Mayo, Nephin Beg",130,97
Castlemahon Mountain,Belfast Hills,128,120
Oldtown Hill,South Clare,127,100
Knockbane,East Coast,126,126
An Droim Rua (1),Oileáin Árann,123,123
Knocknasullig,Dunkerron Mountains,117,100
Lettermore,South Connemara,117,117
Vinegar Hill,North Wexford,116.6,65
Hill of Faughart,"Cooley/Gullion, Slieve Gullion",113,23
Achillbeg Island N Top,Achill/Corraun,109.7,109
Achillbeg Island S Top,Achill/Corraun,108.5,102
Brow Head,Mizen/Sheeps Head,108,104
Illanmaster Island,North Mayo,105,105
Termon Hill,North Mayo,103,98
Moylemore,Donegal NW,102,102
Slievemore,Mizen/Sheeps Head,101,101
Ballywhite Hill,Belfast Hills,101,95
Stags of Broadhaven (central),North Mayo,97,97
Tormore Island South,Donegal SW,94,94
